x_id,x_idregion_y1,proi1_y1,proi2_y1,proi3_y1,proi4_y1,proi5_y1,proi6_y1,proi7_y1,proi8_y1,inf1_y1,inf2_y1,inf3_y1,enrl1_y1,enrl_epi,enrl_epi2,ad_age,ad_gender,ad_field,ad_inst1,ad_need1,ad_need2,ad_inc1,ad_inc2,ad_award1,ad_award2,ad_unmet1,ad_unmet2,ad_inc3,ad_inc4,ad_loan1,ad_grant1,ad_asset1,ad_tuition1,ad_recip1,ad_ncb1,ad_cag1,ad_loan2,ad_bursary1,ad_loan3,ad_award3,enrl1_y2,proi_scale
ON21-14108,35,5,5,5,5,4,4,5,1,5,5,5,1,45.1001,45,19,1,32,3518,7641,1967,NA,52394,7641,7641,0,0,2500,NA,7641,0,NA,NA,1,41336,0,1967,0,5674,5674,1,30
ON21-14114,35,5,5,2,4,3,1,3,2,5,3,4,1,3.0103,3,19,1,32,3520,5582,1096,NA,61607,5582,5582,0,0,5358,NA,5582,0,NA,NA,1,36440,0,1096,0,4486,4486,1,31
ON21-14115,35,5,4,3,4,2,3,5,5,5,1,3,1,50.0404,50,18,1,35,3511,11713,1323,NA,75398,11713,11713,0,0,NA,NA,11713,0,NA,NA,1,36440,0,1323,0,10390,10390,1,25
ON21-14117,35,5,5,4,4,3,3,4,2,3,4,4,1,45.1001,45,19,1,32,3527,7654,2226,NA,23268,7654,7654,0,0,NA,NA,5428,2226,NA,NA,1,36440,1,2226,0,3202,5428,1,30
ON21-14118,35,5,4,4,5,1,3,4,4,5,4,4,1,44.0702,44,19,0,32,3526,9503,1087,NA,80607,9503,9503,0,0,11000,NA,9503,0,NA,NA,1,36440,0,1087,0,8416,8416,1,30
ON21-14123,35,2,4,4,4,4,1,1,1,4,5,4,1,19.0709,19,20,0,18,3537,4378,960,NA,17477,3587,3587,791,791,NA,NA,2627,960,NA,NA,1,36440,1,960,0,1667,2627,1,31
ON21-14124,35,4,4,4,5,3,3,3,2,3,4,5,1,51.2601,51,18,0,21,3563,5778,1005,NA,42323,6578,6578,800,-800,NA,NA,6578,0,NA,NA,1,36440,0,1005,0,5573,5573,2,30
ON21-14125,35,5,5,3,4,2,1,4,2,5,5,4,1,45.1101,45,18,0,32,3511,11063,1084,NA,66500,11063,11063,0,0,4000,NA,11063,0,NA,NA,1,36440,0,1084,0,9979,9979,1,32
ON21-14128,35,4,4,2,2,1,1,5,5,4,5,4,1,14.1001,14,18,1,35,3518,8585,779,NA,68831,5930,5930,2655,2655,1000,NA,5930,0,NA,NA,1,36440,0,779,0,5151,5151,1,24
ON21-14130,35,4,5,5,5,2,3,4,4,4,2,3,1,52.0201,52,19,1,32,3520,8024,2192,NA,34781,8024,8024,0,0,3624,NA,5832,2192,NA,NA,1,36440,1,2192,0,3640,5832,1,30
ON21-14132,35,4,4,3,3,2,4,5,5,3,3,4,1,31.0505,31,18,0,36,3516,11217,1644,NA,48143,11217,11217,0,0,4000,NA,11217,0,NA,NA,1,36440,0,1644,0,9573,9573,1,22
ON21-14133,35,3,5,4,4,4,2,5,5,4,4,4,1,45.0101,45,19,0,32,3515,4232,1079,NA,68040,4232,4232,0,0,2000,NA,4232,0,NA,NA,1,36440,0,1079,0,3153,3153,1,24
ON21-14139,35,4,5,5,5,2,3,3,3,5,5,4,1,50.0702,50,18,0,32,3524,11243,1521,NA,47225,11243,11243,0,0,220,1000,11243,0,NA,NA,1,36440,0,1521,0,9722,9722,1,32
ON21-14145,35,4,5,5,4,2,2,3,2,5,4,5,1,26.0101,26,18,1,32,3518,8437,2186,NA,17585,8437,8437,0,0,700,NA,6251,2186,NA,NA,1,36440,1,2186,0,4065,6251,1,33
ON21-14147,35,5,5,5,5,3,3,3,5,3,5,5,1,45.0401,45,18,1,32,3521,5515,1086,NA,80637,5515,5515,0,0,2750,2000,5515,0,NA,NA,1,41336,0,1086,0,4429,4429,1,30
ON21-14148,35,4,4,4,5,2,4,2,4,4,5,5,1,51,51,17,1,36,3521,14080,2163,NA,26976,11900,11900,2180,2180,NA,109,9737,2163,NA,NA,1,36440,1,2163,0,7574,9737,1,29
ON21-14153,35,5,5,5,5,1,1,2,2,5,5,5,1,42.0101,42,18,0,32,3517,6334,1095,NA,72699,7721,7721,1387,-1387,3520,NA,7721,0,NA,NA,1,36440,0,1095,0,6626,6626,1,38
ON21-14154,35,5,5,5,5,2,1,4,4,5,5,5,1,26.0709,26,18,1,16,3559,4269,473,NA,57667,3034,3034,1235,1235,4000,NA,3034,0,NA,NA,1,36440,0,473,0,2561,2561,1,33
ON21-14156,35,4,4,5,5,1,3,4,4,5,5,5,1,22,22,19,1,32,3520,12766,2192,NA,38912,11550,11550,1216,1216,4284,NA,11550,0,NA,NA,1,36440,0,2192,0,9358,9358,1,30
ON21-14161,35,4,5,4,5,3,2,5,2,3,5,4,1,51.1601,51,18,0,36,3541,9441,1380,NA,53223,9441,9441,0,0,800,NA,9441,0,NA,NA,1,36440,0,1380,0,8061,8061,1,30
ON21-14162,35,5,5,3,4,1,1,5,5,5,5,5,1,26.0202,26,18,0,32,3514,10734,2175,NA,32400,10734,10734,0,0,2000,NA,8559,2175,NA,NA,1,36440,1,2175,0,6384,8559,1,29
ON21-14166,35,5,5,5,5,1,1,2,1,4,5,2,1,24.0101,24,19,1,32,3523,5662,1067,NA,53720,7362,7362,1700,-1700,NA,NA,7362,0,NA,NA,1,36440,0,1067,0,6295,6295,1,39
ON21-14169,35,4,5,5,5,2,1,3,2,4,4,3,1,9.0101,9,18,0,32,3524,6811,1529,NA,51428,6811,6811,0,0,1700,NA,6811,0,NA,NA,1,36440,0,1529,0,5282,5282,1,35
ON21-14171,35,4,5,3,3,3,2,2,4,5,5,3,1,26.0101,26,18,1,32,3518,8346,2186,NA,54124,8346,8346,0,0,800,NA,8346,0,NA,NA,1,36440,0,2186,0,6160,6160,1,28
ON21-14174,35,3,2,2,5,2,2,5,5,5,5,3,1,52.1401,52,18,1,15,3537,6355,503,NA,63914,6355,6355,0,0,1500,NA,6355,0,NA,NA,1,36440,0,503,0,5852,5852,2,22
ON21-14176,35,5,5,4,4,2,1,4,4,5,5,5,1,24.0102,24,18,0,32,3519,4028,1093,NA,83091,5728,5728,1700,-1700,3332,NA,5728,0,NA,NA,1,36440,0,1093,0,4635,4635,1,31
ON21-14177,35,5,5,5,4,1,1,3,4,5,1,5,1,45.0401,45,19,0,32,3522,8602,2186,NA,34693,8602,8602,0,0,2480,NA,6416,2186,NA,NA,1,36440,1,2186,0,4230,6416,1,34
ON21-14178,35,5,5,3,3,2,1,3,4,1,5,5,1,26.0101,26,18,0,32,3518,4550,1093,NA,55585,4600,4600,50,-50,NA,NA,4600,0,NA,NA,1,36440,0,1093,0,3507,3507,1,30
ON21-14179,35,5,5,4,4,4,2,2,2,5,4,4,1,52.0101,52,20,0,32,3520,2453,913,NA,35152,2453,2453,0,0,3000,1000,1540,913,NA,NA,1,36440,1,913,0,627,1540,1,32
ON21-14181,35,5,5,4,3,4,2,4,4,5,5,5,1,52.0101,52,18,1,32,3518,11582,2186,NA,20066,11550,11550,32,32,NA,NA,9364,2186,NA,NA,1,36440,1,2186,0,7178,9364,1,27
ON21-14182,35,NA,5,4,4,5,2,3,2,5,5,4,1,31.0501,31,18,0,32,3526,8082,1692,NA,45573,8082,8082,0,0,3200,NA,8082,0,NA,NA,1,36440,0,1692,0,6390,6390,1,NA
ON21-14183,35,5,5,4,4,2,2,2,4,4,2,5,1,13.0101,13,19,1,33,3525,9451,1051,NA,74127,9451,9451,0,0,4700,NA,9451,0,NA,NA,1,36440,0,1051,0,8400,8400,1,32
ON21-14193,35,4,4,5,4,2,2,2,4,4,5,4,1,24.0102,24,18,0,32,3515,10547,1079,NA,68982,10948,10948,401,-401,NA,NA,10948,0,NA,NA,1,36440,0,1079,0,9869,9869,1,31
ON21-14194,35,5,5,4,5,1,1,4,4,5,4,4,1,31.0505,31,18,1,32,3517,12050,2191,NA,21343,11900,11900,150,150,1600,1000,9709,2191,NA,NA,1,36440,1,2191,0,7518,9709,1,33
ON21-14199,35,5,5,5,3,1,3,3,3,5,5,5,1,50.0409,50,19,0,17,3534,4306,960,NA,7090,4306,4306,0,0,9985,3000,3346,960,NA,NA,1,36440,1,960,0,2386,3346,1,32
ON21-14200,35,4,4,4,5,2,2,4,5,5,5,2,1,26.0101,26,19,1,32,3518,7195,2186,NA,19166,8582,8582,1387,-1387,500,NA,6396,2186,NA,NA,1,36440,1,2186,0,4210,6396,1,28
ON21-14201,35,5,5,5,4,2,3,4,4,5,5,5,1,26.0102,26,18,1,32,3512,11259,2186,NA,25483,11200,11200,59,59,NA,NA,9014,2186,NA,NA,1,36440,1,2186,0,6828,9014,1,30
ON21-14202,35,5,5,3,3,2,1,3,5,5,5,2,1,24.0102,24,19,1,32,3521,12256,1752,NA,44517,11900,11900,356,356,4500,NA,11900,0,NA,NA,1,36440,0,1752,0,10148,10148,2,29
ON21-14203,35,4,5,4,4,1,3,4,4,5,5,5,1,50.0702,50,18,0,32,3524,8048,1092,NA,52456,8048,8048,0,0,4270,1680,8048,0,NA,NA,1,36440,0,1092,0,6956,6956,1,29
ON21-14207,35,5,5,5,5,1,3,3,2,4,2,5,1,44.0701,44,20,0,18,3541,9626,701,NA,44129,9626,9626,0,0,4600,NA,9626,0,NA,NA,1,36440,0,701,0,8925,8925,1,35
ON21-14209,35,5,5,NA,2,4,1,2,4,5,1,5,1,14.1401,14,18,1,35,3512,7821,1227,NA,67216,7821,7821,0,0,4000,1500,7821,0,NA,NA,1,36440,0,1227,0,6594,6594,1,NA
ON21-14210,35,5,4,4,5,2,1,3,3,5,4,4,1,26.0202,26,18,0,32,3520,8842,2192,NA,24801,8892,8892,50,-50,2800,NA,6700,2192,NA,NA,1,36440,1,2192,0,4508,6700,1,33
ON21-14211,35,5,5,5,5,1,1,1,3,5,4,5,1,54.0101,54,20,1,32,3523,6077,1067,NA,70965,6077,6077,0,0,8000,NA,6077,0,NA,NA,1,36440,0,1067,0,5010,5010,2,38
ON21-14212,35,4,5,5,4,2,1,2,4,5,5,5,1,42.0101,42,18,0,32,3517,9413,2191,NA,25303,9413,9413,0,0,397,NA,7222,2191,NA,NA,1,36440,1,2191,0,5031,7222,1,33
ON21-14213,35,5,5,3,4,1,1,3,4,5,5,5,1,42.0101,42,19,0,32,3518,11622,2186,NA,26540,11550,11550,72,72,NA,NA,9364,2186,NA,NA,1,36440,1,2186,0,7178,9364,1,32
ON21-14214,35,5,4,4,4,2,4,4,4,4,1,5,1,50.0901,50,19,1,32,3522,9747,1591,NA,45836,9747,9747,0,0,13000,1800,9747,0,NA,NA,1,36440,0,1591,0,8156,8156,1,27
ON21-14215,35,1,1,2,1,5,2,5,5,5,5,5,1,52.0101,52,19,1,NA,5942,NA,NA,NA,NA,13000,13000,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,12
ON21-14216,35,5,5,4,4,2,4,4,5,4,4,5,1,24.0102,24,18,0,32,3521,7929,2050,NA,48627,9316,9316,1387,-1387,500,NA,9316,0,NA,NA,1,41336,0,2050,0,7266,7266,1,27
